StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_BallotBoxStuffing,Q1.2_Browser,Q1.2_Version,Q1.2_Operating System,Q1.2_Resolution,gender,gender_3_TEXT,age,ethnicity,ethnicity_5_TEXT,education,education_9_TEXT,income,country,ac1,ac2,nfc1,nfc2,nfc3,nfc4,nfc5,nfc6,nfc7,nfc8,nfc9,nfc10,nfc11,ac3,nfc12,nfc13,nfc14,nfc15,nfc16,nfc17,nfc18,nfctime_First Click,nfctime_Last Click,nfctime_Page Submit,nfctime_Click Count,comprehension1,comprehensiontime1_First Click,comprehensiontime1_Last Click,comprehensiontime1_Page Submit,comprehensiontime1_Click Count,comprehensiontime2_First Click,comprehensiontime2_Last Click,comprehensiontime2_Page Submit,comprehensiontime2_Click Count,comprehension2,comprehension3,1_matrixtime_First Click,1_matrixtime_Last Click,1_matrixtime_Page Submit,1_matrixtime_Click Count,1_comprehension4,2_matrixtime_First Click,2_matrixtime_Last Click,2_matrixtime_Page Submit,2_matrixtime_Click Count,2_comprehension4,3_matrixtime_First Click,3_matrixtime_Last Click,3_matrixtime_Page Submit,3_matrixtime_Click Count,No,4_matrixtime_First Click,4_matrixtime_Last Click,4_matrixtime_Page Submit,4_matrixtime_Click Count,4_comprehension4,5_matrixtime_First Click,5_matrixtime_Last Click,5_matrixtime_Page Submit,5_matrixtime_Click Count,5_comprehension4,usage1,usage2,usage2_4_TEXT,usage3,usage4,Q9.5_8,Q9.5_9,Q9.5_20,Q9.5_21,Q9.5_16,Q9.5_16_TEXT,usage6,usage6_3_TEXT,honesty2,honesty2_4_TEXT,id,comments,SC0,PROLIFIC_PID,workerid,assignmentId,hitId,site,age,gender,sign,sample
11/11/21 12:49,11/11/21 13:34,Survey Preview,,100,2674,TRUE,11/11/21 13:34,R_1LHzGg3drfb3Es9,,,,,37.46510315,-122.1430054,preview,EN,,Firefox,94,Macintosh,1440x900,Female,,28,Other,Asian/White,Master's degree,,"$25,000 - $50,000",United States,6,3,1,2,3,3,3,1,3,3,3,3,3,2,3,1,3,3,3,1,1,10.786,114.028,114.901,27,1,29.964,29.964,59.447,1,6.258,7.527,8.305,2,0,1,0,0,21.007,0,0,0,0,21.107,0,0,,0,21.007,0,,0,0,21.008,0,1,0,0,3.357,0,No,Less than 1 hour per month,To pass the time,,none,none,Never,Never,Never,Never,Never,,No,,0,,test,test,0,,,,,MTurk,,,USD,CR
11/21/21 1:59,11/21/21 2:03,Survey Preview,,100,263,TRUE,11/21/21 2:03,R_dp5vx4YeLQe4IUN,,,,,37.44050598,-122.1477966,preview,EN,,Chrome,95.0.4638.69,Macintosh,1440x900,Female,,24,Middle Eastern,,Some graduate school,,"$10,000 - $25,000",United States,5,3,2,1,1,1,3,1,2,2,2,2,1,3,3,4,4,3,4,4,4,0.677,69.669,70.994,44,0,2.263,2.263,4.887,1,0,0,5.162,0,10,1,10.427,10.427,13.568,1,1,5.178,5.178,6.353,1,0,0,0,4.201,0,No,3.677,4.711,11.748,2,1,7.6,8.07,21.007,2,found,1-2 hours per week,It is my main source of income,,mn,mnk,Never,A few times,,,Several times,,Yes - through Amazon MTurk,,0,,yt6j,jhk,3,,,,,MTurk,,,USD,CR
11/23/21 8:23,11/23/21 8:26,Survey Preview,,100,134,TRUE,11/23/21 8:26,R_V4OFpPDXAjruZj3,,,,,45.49949646,-73.58480072,preview,EN,,Firefox,94,Macintosh,1440x900,Female,,28,Other,,Bachelor's degree,,"$25,000 - $50,000",United States,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.499,11.631,13.557,20,0,2.787,2.787,4.389,1,1.581,2.8,4.072,2,0,0,1.452,1.452,2.256,1,0,0.94,0.94,1.665,1,1,0.849,0.849,1.47,1,No,0.845,1.374,1.752,2,1,0.888,0.888,1.382,1,No,Less than 1 hour per month,To pass the time,,test,test,A few times,A few times,A few times,A few times,A few times,,Prefer not to answer,,1,,test,test,0,,,,,MTurk,,,USD,CR
11/29/21 0:16,11/29/21 0:28,IP Address,108.184.108.129,100,741,TRUE,11/29/21 0:28,R_3D0Hl3F2sTKawIc,,,,,34.12109375,-117.436203,anonymous,EN,,Chrome,96.0.4664.45,Windows NT 10.0,1920x1080,Prefer not to say,,21,"African-American,Latin/Hispanic",,High school,,"$10,000 - $25,000",United States,3,2,2,2,3,4,3,2,4,3,4,1,1,2,3,1,3,2,4,3,3,9.766,222.089,223.244,33,1,4.629,44.234,57.966,5,2.238,5.079,6.393,3,0,0,0,0,21.01,0,,19.186,19.186,20.284,1,0,0,0,21.008,0,,0,0,21.011,0,,0,0,21.11,0,,Less than 1 hour per month,Other,"i do not use mturk... i don't know what that is, i use prolific",0,n/a,Never,Many times,Never,Never,Never,,No,,0,,610070dbee5929bd59500a26,,1,610070dbee5929bd59500a26,,,,MTurk,,,USD,CR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mturk
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,5,,3,,,,,,,,,,,,,Prolific
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,Prolific
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,Prolific
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,Mturk
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,3,,,,,,,,,,,,,Mturk
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,2,,,,,,,,,,,,,CR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mturk
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prolific
